Timestamp,language,coding,maths,superpower,Afterlife,love,flavour,egg,steak
2023/11/16 10:35:48 AM GMT,1,8,6,Shapeshifting,Eternal nothingness,Let the love of your life die,Salty,Chicken,I don't eat steak
2023/11/16 10:54:59 AM GMT,1,7,7,Telekinesis,Afterlife,Let 100 random people die,Umami,Chicken,medium rare
2023/11/16 10:56:42 AM GMT,0,7,6,Teleportation,Eternal nothingness,Let the love of your life die,Umami,Egg,medium rare
2023/11/16 10:58:03 AM GMT,1,9,9,Teleportation,Eternal nothingness,Let 100 random people die,Umami,Egg,medium-well
2023/11/16 11:08:12 AM GMT,3,7,3,Mind reading,Afterlife,Let the love of your life die,Salty,Chicken,medium rare
2023/11/16 11:32:07 AM GMT,1,5,2,Teleportation,Eternal nothingness,Let 100 random people die,Salty,Chicken,medium
2023/11/16 11:59:17 AM GMT,0,2,2,Teleportation,Afterlife,Let the love of your life die,Sweet,Chicken,medium-well
2023/11/16 11:59:54 AM GMT,1,6,1,Super speed,Reincarnation,Let 100 random people die,Salty,Chicken,medium
2023/11/16 12:17:12 PM GMT,2,5,1,Super speed,Afterlife,Let the love of your life die,Salty,Egg,medium rare
2023/11/16 12:19:40 PM GMT,1,9,10,Telekinesis,Afterlife,Let the love of your life die,Umami,Chicken,I don't eat steak
2023/11/16 12:24:37 PM GMT,1,1,1,Telekinesis,Eternal nothingness,Let 100 random people die,Salty,Chicken,medium rare
2023/11/16 12:24:42 PM GMT,0,8,3,Mind reading,Eternal nothingness,Let the love of your life die,Salty,Egg,I don't eat steak
2023/11/16 12:25:52 PM GMT,2,2,1,Invisibility,Afterlife,Let the love of your life die,Sour,Egg,medium-well
2023/11/16 1:31:59 PM GMT,0,9,5,Shapeshifting,Reincarnation,Let the love of your life die,Sweet,Egg,well done
